Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chancho_b75e37f2	nvle	Está por cerrar la puerta. Pero se detiene. Nota en la ropa del cerdito unas motas anaranjadas, restos de caléndula.	game/branch.rpy	63	nvle "[what]"
chancho_01e44b9d	he	¿Tú...?	game/branch.rpy	66	he "[what]"
chancho_32c4fc8b	nvle	Chancho da un paso hacia adentro. Levanta las orejas. Sonríe.	game/branch.rpy	67	nvle "[what]"
chancho_d63d4801	he	¡No!	game/branch.rpy	70	he "[what]"
chancho_fb961c45	nvle	Sale de la casa, se dirige al jardín. Toma las macetas intactas. Las mete al interior una a una, colocándolas frente a la ventana. Chancho se acerca a la entrada.	game/branch.rpy	71	nvle "[what]"
chancho_95d6f555	he	No. Aquí no.	game/branch.rpy	73	he "[what]"
chancho_1c005c7f	nvle	Levanta una escoba y lo ahuyenta. Chancho retrocede unos pasos, confundido, pero no huye. Solo baja la cabeza.	game/branch.rpy	74	nvle "[what]"
chancho_e0f11147	nvle	Chancho se acurruca frente a la puerta. La noche cae lenta. El frío empieza a aumentar.	game/branch.rpy	76	nvle "[what]"
chancho_048077a4	ch	Hoy no salió.	game/branch.rpy	78	ch "[what]"
chancho_d9ca7da2	nvle	Mira hacia la ventana. Nadie aparece. El cerdito bosteza. Se regresa a su cueva.	game/branch.rpy	79	nvle "[what]"
chancho_fed18ba4	nvle	Chancho duerme acurrucado entre hojas.	game/branch.rpy	85	nvle "[what]"
chancho_eacbf350	nvle	Chancho, más joven, más cerdo. Su cuerpo era aún redondo, apenas humano. Su hocico más corto, sus movimientos más torpes. Entre los escombros y lodo de un corral, encuentra un cuerpo humano. No tiene nombre. Solo carne. Chancho lo huele, lo toca, lo prueba.	game/branch.rpy	87	nvle "[what]"
chancho_7db8e4bf	nvle	Chancho despierta con sobresalto. Se queda quieto.	game/branch.rpy	90	nvle "[what]"
chancho_e5dafaef	ch	Hortensia. Hoy sí. Hoy sí viene.	game/branch.rpy	91	ch "[what]"
chancho_60a798b8	nvle	Sale de su escondite.	game/branch.rpy	92	nvle "[what]"
chancho_6ea1e321	nvle	Se acerca a la casa. Se asoma por la ventana, empinándose con dificultad.	game/branch.rpy	95	nvle "[what]"
chancho_c831e08a	nvle	 No hay nadie. {p=1.5} Ve la mesa vacía. La sala revuelta. Pero allí están... las caléndulas. Colocadas en una esquina, dentro.	game/branch.rpy	96	nvle "[what]"
chancho_0442317a	ch	Ella las puso ahí. Para que las viera. Ella está cerca.	game/branch.rpy	98	ch "[what]"
chancho_4e304e23	nvle	Chancho se sienta. Mira la ventana. Espera. Las horas pasan. El cielo se pinta naranja.	game/branch.rpy	99	nvle "[what]"
chancho_35921890	nvle	El estómago de Chancho ruge. Se agita. Olfatea con ansiedad. Mira de nuevo la ventana.	game/branch.rpy	101	nvle "[what]"
chancho_0094aa30	nvle	Chancho se pone de pie. Coloca sus pezuñas sobre el marco.	game/branch.rpy	102	nvle "[what]"
chancho_f6b980da	nvle	Gira la cabeza. Mete el hocico. {p=1.5} Nada. {p=1.5} Se frustra. Da vueltas. Mira hacia todos lados. Y vuelve a intentarlo.	game/branch.rpy	104	nvle "[what]"
chancho_6f4153ca	nvle	El marco se astilla. La madera vieja cede. Un pequeño hueco. Chancho empuja su cuerpo entre los restos de la ventana.	game/branch.rpy	106	nvle "[what]"
chancho_a6bbe061	nvle	Chancho cae dentro con torpeza. Tose. Sacude sus patas. Se arrastra hasta las macetas. Las huele. Las lame. Come con desesperación.	game/branch.rpy	110	nvle "[what]"
chancho_ee199662	nvle	En el fondo... Helena llora en su habitación. No grita. No reacciona al ruido. No sale.	game/branch.rpy	111	nvle "[what]"
chancho_f5edee48	nvle	Chancho se detiene un momento. Mira en dirección al sonido. Mastica más lento. Luego traga.	game/branch.rpy	112	nvle "[what]"
chancho_71dc6044	ch	Está llorando otra vez.	game/branch.rpy	115	ch "[what]"
chancho_924a57f8	nvle	Chancho olfatea el aire. La casa huele mal. A sudor seco. A carne vieja.	game/branch.rpy	116	nvle "[what]"
chancho_132ab714	nvle	Avanza por el pasillo. {p=1.5} Pasa cerca de una puerta entreabierta. Dentro, todo está limpio. Casi intacto. Un cojín gastado. Un vaso a medio llenar. Una blusa doblada.	game/branch.rpy	117	nvle "[what]"
chancho_da19cf92	nvle	Chancho se detiene. Huele la puerta. Se queda quieto.	game/branch.rpy	118	nvle "[what]"
chancho_4ce739b2	ch	Aquí... aquí huele a ella.	game/branch.rpy	122	ch "[what]"
chancho_1ebf151f	nvle	Chancho entra al cuarto de hortensia, está desordenado, da una vuelta alrededor buscando algo. No lo encuentra y se va.	game/branch.rpy	123	nvle "[what]"
chancho_657089db	ch	Aquí no está	game/branch.rpy	124	ch "[what]"
chancho_1fabc3bb	nvle	Luego sigue avanzando, rumbo al cuarto de Helena.	game/branch.rpy	125	nvle "[what]"
chancho_9f479ee9	nvle	Chancho camina arrastrando las patas, dejando un rastro leve de tierra húmeda. La casa está en penumbra. La puerta del cuarto de Helena está entreabierta. Una tenue luz amarilla se filtra por la rendija. {p=1.5}Se asoma.	game/branch.rpy	126	nvle "[what]"
chancho_243ba90f	nvle	Helena yace en el suelo.	game/branch.rpy	128	nvle "[what]"
chancho_065770aa	nvle	La habitación es un caos. Ropa sucia, papeles arrugados, bandejas vacías, charolas rotas. Una botella volcada chorrea sobre el piso.	game/branch.rpy	129	nvle "[what]"
chancho_f14bb9db	nvle	Chancho entra en silencio. Sus pasos sobre los objetos del suelo suenan como crujidos de hojas secas.	game/branch.rpy	130	nvle "[what]"
chancho_b15044dc	he	Te dije que no...	game/branch.rpy	133	he "[what]"
chancho_e97979b7	nvle	Levanta un poco la cabeza. Lo ve. Reconoce a Chancho. Suspira. Baja la cabeza de nuevo.	game/branch.rpy	134	nvle "[what]"
chancho_cefa82db	he	Otra vez tú...	game/branch.rpy	137	he "[what]"
chancho_b85c97f4	nvle	Chancho se acerca con cautela. Olfatea su hombro. Ladea la cabeza. Se sienta. La observa.	game/branch.rpy	138	nvle "[what]"
chancho_ef6f80f5	nvle	Chancho intenta empujarla con el hocico. Ella no se mueve. Intenta levantar su brazo. Ella lo aparta con una mano temblorosa.	game/branch.rpy	139	nvle "[what]"
chancho_4700ffe1	he	No quiero. Déjame.	game/branch.rpy	142	he "[what]"
chancho_e5ee0ce2	nvle	Chancho no entiende. Pero siente.	game/branch.rpy	143	nvle "[what]"
chancho_af33c1cd	ch	No está fracturada... sólo... solo que ya no camina.	game/branch.rpy	145	ch "[what]"
chancho_bb147359	nvle	Helena se voltea, le da la espalda. Chancho retrocede. Sale lentamente del cuarto.	game/branch.rpy	146	nvle "[what]"
chancho_6290001a	nvle	Chancho se enrolla en la manta. Tiembla. Cierra los ojos. Trata de dormir	game/branch.rpy	151	nvle "[what]"
chancho_e98b2291	nvle	Chancho corre entre ramas. Sus patas están heridas. Su respiración es agitada. Al fondo, luces. Voces humanas. Pasos apresurados.	game/branch.rpy	153	nvle "[what]"
chancho_2652e706	s1	¡Ahí va! ¡¡Rápido!!	game/branch.rpy	159	s1 "[what]"
chancho_374f0f14	ch	No quiero... no quiero...	game/branch.rpy	160	ch "[what]"
chancho_e8521c74	nvle	Ramas lo arañan. Tropieza. Se arrastra. Se levanta de nuevo. Gira. Está rodeado. Un destello. Una linterna directa a su cara.	game/branch.rpy	161	nvle "[what]"
chancho_cff596d2	s2	¡Lo tenemos!	game/branch.rpy	164	s2 "[what]"
chancho_4701390c	nvle	Chancho busca por donde correr. Solloza.	game/branch.rpy	167	nvle "[what]"
chancho_aab3cafe	ho	¡Ven sube!	game/branch.rpy	169	ho "[what]"
chancho_6bd1ae5e	nvle	Chancho la ve. Ella extiende los brazos desde la cabina de una camioneta. Su silueta contra la luz. Se lanza hacia ella. Sube. Ella lo sujeta. Cierra la puerta.	game/branch.rpy	170	nvle "[what]"
chancho_5110eaba	nvle	Chancho en el asiento trasero. Hortensia le pasa una manta.	game/branch.rpy	171	nvle "[what]"
chancho_1531513a	ho	Shhh... Ya pasó. Ya estás conmigo.	game/branch.rpy	173	ho "[what]"
chancho_ccfb5c01	nvle	Chancho cierra los ojos. Se acurruca. Sonríe.	game/branch.rpy	174	nvle "[what]"
chancho_88755ce2	nvle	Chancho se despierta. Mira a su alrededor. Sigue solo. El viento sacude las ramas. Su hocico se mueve. Olfatea. Se pone de pie lentamente.	game/branch.rpy	176	nvle "[what]"
chancho_a7d2d651	nvle	De pronto, se detiene. Su hocico se alza. Olfatea. Gira hacia la izquierda. Camina en esa dirección.	game/branch.rpy	177	nvle "[what]"
chancho_925b5b19	nvle	Helena, cubierta de barro, cavando. {p=1.5} Está junto a la tumba simbólica donde dejó el código QR de su madre. La tierra ya no es tan blanda. Cada palada parece más pesada que la anterior.	game/branch.rpy	182	nvle "[what]"
chancho_8fee68cd	nvle	Chancho se detiene a unos metros. La observa en silencio. Helena lo ve. No dice nada. No lo echa. Solo lo ve. Sus ojos están llenos, pero secos.	game/branch.rpy	184	nvle "[what]"
chancho_23fd261e	nvle	Chancho se sienta. {p=1.5} El viento se lleva el silencio.	game/branch.rpy	185	nvle "[what]"
chancho_a728bbce	nvle	Chancho sigue sentado. Helena ya no cava. Solo se queda junto al agujero, arrodillada, con la pala sobre las piernas.	game/branch.rpy	187	nvle "[what]"
chancho_41571bd5	nvle	Chancho se pone de pie. Mira hacia el origen del ruido. La casa de Helena. Tensos segundos.	game/branch.rpy	188	nvle "[what]"
chancho_3aceeb9a	nvle	Voltea hacia Helena. Ella no reacciona. Mira la tierra. Cierra los ojos. Los sonidos se desvanecen.	game/branch.rpy	189	nvle "[what]"
chancho_03140d15	ch	Quizás si no lo ve, no existe.	game/branch.rpy	190	ch "[what]"
chancho_f0cca3f3	nvle	Chancho y Helena caminan juntos, pero no lado a lado. Hay una distancia entre ellos. Helena camina como si cargara el monte sobre sus hombros. Chancho solo la sigue.	game/branch.rpy	191	nvle "[what]"
chancho_72ef33da	nvle	Al llegar, Helena se detiene en seco.	game/branch.rpy	192	nvle "[what]"
chancho_3ae8ad49	nvle	La puerta está colgando de una sola bisagra. Cristales rotos por todo el jardín. Las plantas volteadas. Huellas de barro por la entrada.	game/branch.rpy	193	nvle "[what]"
chancho_55ddaad6	nvle	El interior... devastado.	game/branch.rpy	194	nvle "[what]"
chancho_8f1d9435	he	No...	game/branch.rpy	197	he "[what]"
chancho_10484f03	nvle	Se arrodilla. Luego cae con todo el peso de su cuerpo. Comienza a sollozar.	game/branch.rpy	198	nvle "[what]"
chancho_b5738646	he	¿Por qué...?!	game/branch.rpy	200	he "[what]"
chancho_4f37dab7	nvle	Chancho se acerca con pasos inseguros. Quiere consolarla. Pero no sabe cómo. Frota su cabeza contra su brazo. No hay respuesta.	game/branch.rpy	201	nvle "[what]"
chancho_85e9c02b	nvle	Se aleja. Entra a la casa destruida. Cruza entre vidrios y muebles volcados. Encuentra una manta enredada entre los restos de un sillón.	game/branch.rpy	202	nvle "[what]"
chancho_cfadffc4	nvle	Chancho sale con la manta entre los dientes. Se acerca a Helena, que ya no llora. Solo respira fuerte, con los ojos perdidos.	game/branch.rpy	204	nvle "[what]"
chancho_865b65de	nvle	Chancho la cubre con torpeza. Luego se acuesta junto a ella. Su cuerpo toca apenas el suyo.	game/branch.rpy	205	nvle "[what]"
chancho_4f73f5ad	nvle	Chancho, más pequeño. Hortensia lo baja de la camioneta. Está envuelto en una manta. Lo deja en la parte trasera de la casa, junto a las caléndulas.	game/branch.rpy	212	nvle "[what]"
chancho_b9bf20c2	ho	Por aquí estarás más seguro. Diviértete, sé libre.	game/branch.rpy	216	ho "[what]"
chancho_c2bceca4	nvle	Chancho la mira. No entiende todo, pero asiente con el cuerpo. Ella le acomoda la manta. Le da una palmada suave en la cabeza. Luego se va. 	game/branch.rpy	217	nvle "[what]"
chancho_b3630df0	nvle	Chancho huele el lugar. Mira alrededor. Camina en círculos. Luego se aleja, adentrándose en los arbustos. La cueva lo espera.	game/branch.rpy	218	nvle "[what]"
chancho_94ab1bb0	nvle	Chancho despierta primero. La manta se ha deslizado por su lomo. Se sacude. Mira a Helena, aún dormida, cubierta de tierra y lágrimas secas. Se acerca. La empuja con el hocico. Ella gruñe bajo.	game/branch.rpy	219	nvle "[what]"
chancho_25c73e78	ch	Despierta. No puedes quedarte aquí. Hace frío.	game/branch.rpy	222	ch "[what]"
chancho_a303806b	nvle	Chancho la empuja de nuevo. Esta vez más fuerte. Helena gruñe.	game/branch.rpy	223	nvle "[what]"
chancho_9baef2d9	he	Ya basta... cerdo tonto...	game/branch.rpy	226	he "[what]"
chancho_f6ad87ce	nvle	Chancho la jala del suéter. Ella forcejea. Se sienta de mala gana.	game/branch.rpy	227	nvle "[what]"
chancho_9b15ba4b	he	¿¡Qué quieres ahora, huh!?	game/branch.rpy	229	he "[what]"
chancho_a8352227	nvle	No hay respuesta. Solo la mirada tierna de Chancho. {p=1.5} Ella suspira. {p=1.5} Se pone de pie con lentitud. Caminan.	game/branch.rpy	230	nvle "[what]"
chancho_61026400	nvle	Helena entra. Chancho se queda en la entrada. Ella observa el caos. Se arrastra hasta el refrigerador. Lo abre. Saca una charola sellada. No la mira. Solo la agarra. Camina hacia su cuarto.	game/branch.rpy	231	nvle "[what]"
chancho_a5f97fea	nvle	Chancho se sienta fuera. Mira la puerta. Luego al pasillo. Espera.	game/branch.rpy	232	nvle "[what]"
chancho_0ae9bcd0			game/branch.rpy	235	"[what]"
chancho_640089a9	nvle	Chancho espera. {p=1.5} Día 1. {p=1.5} Día 2. {p=1.5} Día 3.	game/branch.rpy	240	nvle "[what]"
chancho_24126594	ch	Sigue sin moverse. Tal vez solo duerme mucho... como cuando llueve.	game/branch.rpy	241	ch "[what]"
chancho_ea9d640a	nvle	Chancho regresa a su cueva. Se acurruca.	game/branch.rpy	243	nvle "[what]"
chancho_8b17f252	nvle	Chancho vuelve. La puerta de la casa está entreabierta.	game/branch.rpy	244	nvle "[what]"
chancho_009eddcf	ch	Creo que ya salió.	game/branch.rpy	245	ch "[what]"
chancho_d6c0a370	nvle	Chancho entra con cautela. El aire huele extraño. Fétido.	game/branch.rpy	246	nvle "[what]"
chancho_08b45d9e	nvle	Todo sigue revuelto. Pero ahora hay algo más.	game/branch.rpy	250	nvle "[what]"
chancho_96533a87	nvle	Sangre en el piso. {p=1.5} Chancho retrocede.	game/branch.rpy	251	nvle "[what]"
chancho_7447fe25	nvle	Un cuerpo en el suelo.	game/branch.rpy	252	nvle "[what]"
chancho_c7e895aa	nvle	Se acerca de nuevo. Lo huele más profundamente. Sus ojos se agrandan.	game/branch.rpy	253	nvle "[what]"
chancho_25777629	ch	No... No, tú no. Tú no.	game/branch.rpy	254	ch "[what]"
chancho_af7020d0	nvle	Es Hortensia. O lo que queda de ella. Mutada. Fracturada.	game/branch.rpy	257	nvle "[what]"
chancho_2924042c	nvle	Chancho se desploma. Llora. No con sonido. Solo con cuerpo.	game/branch.rpy	258	nvle "[what]"
chancho_3eb26840	nvle	La empuja con la cabeza. Nada. Le raspa el brazo. Nada.	game/branch.rpy	259	nvle "[what]"
chancho_a854973e	nvle	Se acurruca junto a ella. Se queda ahí. No hay más.	game/branch.rpy	260	nvle "[what]"
chancho_c182f60a	nvle	Chancho despierta en el mismo lugar. Helena no ha vuelto en días. Tiene hambre. Ya no hay comida. Mira el cuerpo. No lo toca. Sale.	game/branch.rpy	263	nvle "[what]"
chancho_04990069	nvle	Chancho camina con pasos lentos. Busca comida o algo. El aire es húmedo. Más que otros días.	game/branch.rpy	264	nvle "[what]"
chancho_c6549bcf	nvle	Pasa junto a la tumba de Hortensia. Algo brilla. Se detiene. Mira hacia el hueco.	game/branch.rpy	266	nvle "[what]"
chancho_be2b2243	nvle	Dentro, el cuerpo de Helena yace inerte. Brazo sobre el pecho. Las muñecas abiertas. {p=1.5} Sangre seca. {p=1.5}Hongos blancos brotan por las heridas. Apenas empieza a cubrirse.	game/branch.rpy	268	nvle "[what]"
chancho_f6ff03d6	nvle	Chancho baja. Olfatea el cuerpo. Cierra los ojos.	game/branch.rpy	271	nvle "[what]"
chancho_910a123a	nvle	El sol comienza a bajar.	game/branch.rpy	272	nvle "[what]"
chancho_0ae9bcd0_1			game/branch.rpy	280	"[what]"
flash_d0c19433	nvle	En la habitación, en el centro, Helena permanece sentada en el colchón, la nota de su madre apretada entre los dedos.	game/branch.rpy	302	nvle "[what]"
flash_30246cb3	he	No era tan difícil confiar en mí, mamá. No para esto.	game/branch.rpy	305	he "[what]"
flash_ee062de9	nvle	Con un grito ahogado, lanza el marco de la foto contra la pared. El vidrio se rompe con un crujido seco. Se levanta de golpe, respira agitada. Empieza a derribar objetos: abre cajones y los vacía, tira almohadas, golpea la cabecera. Patea el buró con fuerza.	game/branch.rpy	306	nvle "[what]"
flash_74ac693d	he	¡Tercas! ¡Eso dijiste! ¡Claro que lo somos! ¡Pero esto no se hace así, mamá!	game/branch.rpy	307	he "[what]"
flash_308d5720	nvle	Sollozos contenidos la interrumpen. Cae de rodillas entre los restos, jadeando, con los puños cerrados.	game/branch.rpy	308	nvle "[what]"
flash_67a9f821	nvle	Un sonido. Golpes suaves. Alguien toca la puerta trasera que da al jardín.	game/branch.rpy	309	nvle "[what]"
flash_d6ee493d		Helena se pone de pie, tambalea	game/branch.rpy	313	"[what]"
flash_5b6ddee9		Helena se pone de pie y agarra la foto de su mamá	game/branch.rpy	316	"[what]"
flash_0f772956	he	Me hubiera gustado que te despidieras en persona.	game/branch.rpy	318	he "[what]"
flash_9958e38d	nvle	Vuelven a tocar la puerta. Helena se pone de pie, tambaleante.	game/branch.rpy	320	nvle "[what]"
flash_4c0cdff4	nvle	Sale del cuarto.	game/branch.rpy	321	nvle "[what]"
flash_ccffe28a	nvle	Cruza la cocina. Abre la puerta trasera con un tirón brusco. El cerdo está allí, con su overol sucio.	game/branch.rpy	323	nvle "[what]"
flash_18b82c66	he	No. No hoy.	game/branch.rpy	324	he "[what]"
flash_3bb82cd7	nvle	Le cierra la puerta sin dudar.	game/branch.rpy	325	nvle "[what]"
flash_11103844	nvle	La luz blanca del baño la deslumbra. Abre la llave. Se enjuaga la boca una y otra vez, cepillo en mano. Escupe. Siente náuseas.	game/branch.rpy	327	nvle "[what]"
flash_73d44271	he	No se va... no se va...	game/branch.rpy	328	he "[what]"
flash_7470808f	nvle	Vuelve a cepillarse, con desesperación. El sabor sigue ahí. Arcadas. Se inclina sobre la taza. Vomita, pero no sale nada. Solo espasmos vacíos. Se queda ahí, respirando con dificultad, las manos aferradas al borde del inodoro.	game/branch.rpy	329	nvle "[what]"
flash_3f056ed7	nvle	Lentamente, se desliza hacia el suelo, agotada. Se abraza las piernas. Y llora. Sin palabras. Solo el sonido de su respiración entrecortada, acompasado por el eco lejano de los golpecitos que Chancho aún hace en la puerta del jardín.	game/branch.rpy	330	nvle "[what]"
flash_eef1f195	nvle	Las paredes grises y sin pintar absorben la poca luz del sol que se cuela por la ventana. El aire es tibio y huele a aceite recalentado. Helena, con apenas ocho años, come sentada frente a un plato de princesas. Sus padres, Hortensia y Hugo, cenan en silencio.	game/branch.rpy	334	nvle "[what]"
flash_29416a10	he	¡AAAAAAH!	game/branch.rpy	336	he "[what]"
flash_f9b9a805	nvle	El grito resuena como un disparo. Hortensia se levanta de golpe, tirando el tenedor. Hugo se queda inmóvil al principio, luego corre a abrazar a su hija. Helena está tiesa, los ojos en blanco, el cuerpo tembloroso. Hortensia cae de rodillas frente a ella.	game/branch.rpy	337	nvle "[what]"
flash_c827ece9	ho	Mi niña... mi niña...	game/branch.rpy	339	ho "[what]"
flash_1cdfb32c	nvle	Helena rompe en llanto. Hugo la aprieta contra su pecho.	game/branch.rpy	340	nvle "[what]"
flash_4c3e196a	he	Luces... muchas luces... y una cama... había pitidos... alguien lloraba.	game/branch.rpy	342	he "[what]"
flash_edfd29dc	ho	Mi niña.	game/branch.rpy	344	ho "[what]"
flash_686bdac6	nvle	Los padres se miran confundidos.	game/branch.rpy	345	nvle "[what]"
flash_6ace903f	nvle	La mesa está servida. Carne y ensalada. Helena empieza a comer. Entra de nuevo en trance. Hortensia la abraza con cuidado, acariciándole el cabello. Hugo mira la carne que queda en el plato de su hija. Suda. Toma un pedazo. Lo observa. Lo huele.	game/branch.rpy	346	nvle "[what]"
flash_a032b381	nvle	Sin decir nada, se agacha frente a la niña.	game/branch.rpy	347	nvle "[what]"
flash_d36bbb14	hu	A ver, abre tu boquita.	game/branch.rpy	349	hu "[what]"
flash_7418b887	nvle	Helena obedece sin pensar. Mastica. Dos segundos después, las pupilas se le dilatan. El cuerpo se tensa. El trance la reclama.	game/branch.rpy	350	nvle "[what]"
flash_cb1f48cd	he	Cortinas blancas... una viejita llorando... pitidos... ¡La enfermera ya viene!	game/branch.rpy	353	he "[what]"
flash_4824120f	nvle	Helena se calma. Esta vez no hay llanto. Solo cansancio. Hugo la mira como si hubiera encontrado oro. Se incorpora.	game/branch.rpy	354	nvle "[what]"
flash_7d7b182d	hu	¡Hortensia! ¡Tiene un don! ¡¿No lo ves?! ¡Puede ver a los muertos!	game/branch.rpy	357	hu "[what]"
flash_eb9280e1	nvle	Hugo toma la mano de Hortensia	game/branch.rpy	358	nvle "[what]"
flash_44fa049e	hu	Hay gente que pagaría por esto.	game/branch.rpy	361	hu "[what]"
flash_bb8fe5f0	ho	No vamos a lucrar con esto.	game/branch.rpy	363	ho "[what]"
flash_50b10214	hu	Esto no es sobre el dinero, es sobre ayudar, Hortensia. La gente necesita saber... ¡Y nosotros también!	game/branch.rpy	365	hu "[what]"
flash_b5299f40	ho	¿Y hacer de nuestra hija una médium?	game/branch.rpy	367	ho "[what]"
flash_03abe84e	hu	Solo en lo que me alivio de la espalda.	game/branch.rpy	369	hu "[what]"
flash_a4003284	nvle	Ella se aleja cargando a su hija. Entra al cuarto y cierra la puerta. Se acuesta con Helena sin decir una palabra.	game/branch.rpy	370	nvle "[what]"
flash_96b323f0	nvle	El agua del lavabo sigue corriendo. Helena deja de llorar. Se incorpora. Tiene los ojos hinchados, pero la mirada firme.	game/branch.rpy	377	nvle "[what]"
flash_04896893	nvle	Sale del baño.	game/branch.rpy	378	nvle "[what]"
flash_53277238	nvle	Entra a su habitación y azota la puerta.	game/branch.rpy	379	nvle "[what]"
flash_51720c76	nvle	Se lanza a la cama. 	game/branch.rpy	380	nvle "[what]"
flash_7b8110d3	nvle	La casa se queda en silencio. Las horas pasan. En la habitación, solo el sonido suave de una respiración rota acompaña la oscuridad. Helena, entre la fatiga y los recuerdos, al fin se queda dormida.	game/branch.rpy	381	nvle "[what]"
flash_09340c70	nvle	El cielo está cubierto por nubes grises. Un bosque espeso y verde respira en silencio. La tierra está húmeda, cubierta de hojas viejas y ramas rotas. Los hongos brotan en grupos diminutos, ocultos entre la maleza. Todo está cubierto por una niebla baja que suaviza los contornos.	game/branch.rpy	385	nvle "[what]"
flash_55b5fa96	nvle	Helena camina junto a su madre, Hortensia. Ambas llevan canastas de mimbre vacías y los zapatos llenos de barro. Hortensia se detiene y se arrodilla junto a un tronco caído.	game/branch.rpy	386	nvle "[what]"
flash_1a79bafe	ho	Estos de aquí... son buenos. Mira las láminas por debajo, como costillas. Son como los que comimos el otro día.	game/branch.rpy	388	ho "[what]"
flash_70a0c9ae	nvle	Helena se agacha también. Sus dedos temblorosos rozan los hongos blancos. Son como orejas blandas pegadas a la madera. Hortensia la observa con paciencia.	game/branch.rpy	389	nvle "[what]"
flash_dbf2818e	ho	No debemos comer cualquier hongo porque no todos son amigos.	game/branch.rpy	391	ho "[what]"
flash_4bfad012	nvle	Helena está sola ahora. La canasta casi le cuelga del brazo. Canta una melodía suave mientras avanza entre ramas. Sus pies descalzos chapotean en el barro. Observa cada rincón con cuidado.	game/branch.rpy	393	nvle "[what]"
